state,year,population_2011,district_count,total_cases,cases_per_100k,total_cases_lag1,total_cases_lag2,total_cases_lag3,total_deaths_lag1,cases_per_100k_lag1,cases_per_100k_lag2,cases_per_100k_lag3,deaths_per_100k_lag1,cases_rate_roll3,cases_yoy_change,rate_yoy_change,next_year_cases,next_year_rate,high_risk_next_year,selected_region
Assam,2021,31205576,24,128,0.41018310317361234,487,1018,3841,2,1.5606185253558533,3.2622374924276354,12.308697650701914,0.006409110987087693,5.710517889495134,-0.7371663244353183,-0.7371663244353184,284,0.9100937601664524,0,no
Assam,2022,31205576,36,284,0.9100937601664524,128,487,1018,0,0.41018310317361234,1.5606185253558533,3.2622374924276354,0.0,1.744346373652367,1.21875,1.21875,511,1.6375278572009053,0,no
Assam,2023,31205576,26,511,1.6375278572009053,284,128,487,0,0.9100937601664524,0.41018310317361234,1.5606185253558533,0.0,0.9602984628986393,0.7992957746478874,0.7992957746478871,95,0.3044327718866654,0,no
Bihar,2003,104099452,37,2652,2.5475638430834393,3683,4108,9509,2,3.537962908776888,3.9462263451684643,9.134534156817654,0.0019212397006662437,5.539574470254336,-0.27993483573174044,-0.2799348357317404,1872,1.7982803598236041,0,no
Bihar,2004,104099452,38,1872,1.7982803598236041,2652,3683,4108,1,2.5475638430834393,3.537962908776888,3.9462263451684643,0.0009606198503331219,3.3439176990095967,-0.29411764705882354,-0.29411764705882354,2733,2.625374050960422,0,no
Bihar,2005,104099452,38,2733,2.625374050960422,1872,2652,3683,0,1.7982803598236041,2.5475638430834393,3.537962908776888,0.0,2.627935703894644,0.4599358974358974,0.4599358974358974,4977,4.781004995107947,0,no
Bihar,2006,104099452,40,4977,4.781004995107947,2733,1872,2652,1,2.625374050960422,1.7982803598236041,2.5475638430834393,0.0009606198503331219,2.3237394179558217,0.8210757409440176,0.8210757409440176,1595,1.5321886612813291,0,no
Bihar,2007,104099452,38,1595,1.5321886612813291,4977,2733,1872,11,4.781004995107947,2.625374050960422,1.7982803598236041,0.010566818353664341,3.0682198019639912,-0.6795258187663251,-0.6795258187663252,47685,45.807157563134915,0,no
Bihar,2008,104099452,42,47685,45.807157563134915,1595,4977,2733,1,1.5321886612813291,4.781004995107947,2.625374050960422,0.0009606198503331219,2.979522569116566,28.896551724137932,28.896551724137932,3255,3.1268176128343117,0,no
Bihar,2009,104099452,38,3255,3.1268176128343117,47685,1595,4977,7,45.807157563134915,1.5321886612813291,4.781004995107947,0.006724338952331852,17.373450406508063,-0.9317395407360806,-0.9317395407360806,32827,31.534267826885394,0,no
Bihar,2010,104099452,42,32827,31.534267826885394,3255,47685,1595,21,3.1268176128343117,45.807157563134915,1.5321886612813291,0.020173016856995556,16.822054612416853,9.085099846390168,9.08509984639017,2643,2.538918264430441,0,no
Bihar,2011,104099452,38,2643,2.538918264430441,32827,3255,47685,4,31.534267826885394,3.1268176128343117,45.807157563134915,0.0038424794013324874,26.822747667618206,-0.919487007646145,-0.919487007646145,12481,11.989496352007693,0,no
Bihar,2012,104099452,42,12481,11.989496352007693,2643,32827,3255,0,2.538918264430441,31.534267826885394,3.1268176128343117,0.0,12.400001234716717,3.722285281876655,3.722285281876655,6717,6.4524835346875795,0,no
Bihar,2013,104099452,40,6717,6.4524835346875795,12481,2643,32827,0,11.989496352007693,2.538918264430441,31.534267826885394,0.0,15.354227481107841,-0.4618219693934781,-0.461821969393478,5925,5.691672613223747,0,no
Bihar,2014,104099452,42,5925,5.691672613223747,6717,12481,2643,1,6.4524835346875795,11.989496352007693,2.538918264430441,0.0009606198503331219,6.993632717041905,-0.11790978115230014,-0.11790978115230014,6550,6.292060019681948,0,no
Bihar,2015,104099452,40,6550,6.292060019681948,5925,6717,12481,5,5.691672613223747,6.4524835346875795,11.989496352007693,0.004803099251665609,8.04455083330634,0.10548523206751055,0.1054852320675105,7838,7.529338386911009,0,no
Bihar,2016,104099452,42,7838,7.529338386911009,6550,5925,6717,2,6.292060019681948,5.691672613223747,6.4524835346875795,0.0019212397006662437,6.145405389197758,0.1966412213740458,0.19664122137404585,5263,5.05574227230322,0,no
Bihar,2017,104099452,40,5263,5.05574227230322,7838,6550,5925,2,7.529338386911009,6.292060019681948,5.691672613223747,0.0019212397006662437,6.504357006605567,-0.32852768563409035,-0.32852768563409035,1520,1.4601421725063453,0,no
Bihar,2018,104099452,36,1520,1.4601421725063453,5263,7838,6550,2,5.05574227230322,7.529338386911009,6.292060019681948,0.0019212397006662437,6.292380226298725,-0.7111913357400722,-0.7111913357400722,2336,2.244007970378173,0,no
Bihar,2019,104099452,42,2336,2.244007970378173,1520,5263,7838,0,1.4601421725063453,5.05574227230322,7.529338386911009,0.0,4.681740943906858,0.5368421052631579,0.5368421052631579,515,0.4947192229215578,0,no
Bihar,2020,104099452,36,515,0.4947192229215578,2336,1520,5263,0,2.244007970378173,1.4601421725063453,5.05574227230322,0.0,2.919964138395913,-0.7795376712328768,-0.7795376712328768,1227,1.1786805563587404,0,no
Bihar,2021,104099452,46,1227,1.1786805563587404,515,2336,1520,0,0.4947192229215578,2.244007970378173,1.4601421725063453,0.0,1.3996231219353585,1.3825242718446602,1.3825242718446598,545,0.5235378184315514,0,no
Bihar,2022,104099452,34,545,0.5235378184315514,1227,515,2336,0,1.1786805563587404,0.4947192229215578,2.244007970378173,0.0,1.3058025832194904,-0.5558272208638957,-0.5558272208638956,1612,1.5485191987369922,0,no
Bihar,2023,104099452,44,1612,1.5485191987369922,545,1227,515,0,0.5235378184315514,1.1786805563587404,0.4947192229215578,0.0,0.7323125325706165,1.9577981651376146,1.9577981651376142,147,0.1412111179989689,0,no
Chandigarh,2003,1055450,1,84,7.958690605902695,157,298,256,0,14.875171727699087,28.234402387607183,24.255057084655835,0.0,22.454877066654035,-0.46496815286624205,-0.4649681528662421,199,18.854517030650435,0,no
Chandigarh,2004,1055450,1,199,18.854517030650435,84,157,298,0,7.958690605902695,14.875171727699087,28.234402387607183,0.0,17.022754907069654,1.369047619047619,1.3690476190476193,432,40.93040883035672,0,no
Chandigarh,2005,1055450,1,432,40.93040883035672,199,84,157,0,18.854517030650435,7.958690605902695,14.875171727699087,0.0,13.896126454750737,1.170854271356784,1.1708542713567838,340,32.21374769055853,0,no
Chandigarh,2007,1055450,1,340,32.21374769055853,432,199,84,0,40.93040883035672,18.854517030650435,7.958690605902695,0.0,22.581205488969946,-0.21296296296296297,-0.212962962962963,430,40.74091619688284,0,no
Chandigarh,2009,1055450,1,430,40.74091619688284,340,432,199,0,32.21374769055853,40.93040883035672,18.854517030650435,0.0,30.666224517188557,0.2647058823529412,0.2647058823529412,582,55.142356340897244,0,no
Chandigarh,2011,1055450,1,582,55.142356340897244,430,340,432,0,40.74091619688284,32.21374769055853,40.93040883035672,0.0,37.9616909059327,0.35348837209302325,0.3534883720930233,390,36.951063527405374,0,no
Chandigarh,2018,1055450,3,390,36.951063527405374,582,430,340,0,55.142356340897244,40.74091619688284,32.21374769055853,0.0,42.69900674277954,-0.32989690721649484,-0.3298969072164948,365,34.58240560898195,0,no
Chandigarh,2020,1055450,3,365,34.58240560898195,390,582,430,2,36.951063527405374,55.142356340897244,40.74091619688284,0.1894926334738737,44.27811202172848,-0.0641025641025641,-0.06410256410256415,329,31.171538206452222,0,no
Chhattisgarh,2003,25545198,16,194419,761.0784617915274,235434,290666,359155,3,921.637013735419,1137.8498612537667,1405.9589594881982,0.011743890182413149,1155.1486114924612,-0.1742101820467732,-0.17421018204677308,194256,760.4403770916161,1,no
Chhattisgarh,2004,25545198,16,194256,760.4403770916161,194419,235434,290666,4,761.0784617915274,921.637013735419,1137.8498612537667,0.01565852024321753,940.188445593571,-0.0008383954243155247,-0.0008383954243156981,187950,735.7547199281837,1,no
Chhattisgarh,2005,25545198,16,187950,735.7547199281837,194256,194419,235434,4,760.4403770916161,761.0784617915274,921.637013735419,0.01565852024321753,814.3852842061875,-0.032462317766246605,-0.032462317766246605,190590,746.0893432887073,1,no
Chhattisgarh,2006,25545198,16,190590,746.0893432887073,187950,194256,194419,3,735.7547199281837,760.4403770916161,761.0784617915274,0.011743890182413149,752.4245196037758,0.014046288906624103,0.014046288906624077,147525,577.5057997201666,1,no
Chhattisgarh,2007,25545198,16,147525,577.5057997201666,190590,187950,194256,3,746.0893432887073,735.7547199281837,760.4403770916161,0.011743890182413149,747.4281467695024,-0.2259562411459153,-0.22595624114591525,81369,318.52953341759184,1,no
Chhattisgarh,2008,25545198,14,81369,318.52953341759184,147525,190590,187950,0,577.5057997201666,746.0893432887073,735.7547199281837,0.0,686.4499543123525,-0.4484392475851551,-0.448439247585155,129397,506.54138597790467,1,no
Chhattisgarh,2009,25545198,16,129397,506.54138597790467,81369,147525,190590,4,318.52953341759184,577.5057997201666,746.0893432887073,0.01565852024321753,547.3748921421552,0.5902493578635598,0.5902493578635596,120871,473.1652500794866,1,no
